NAME,City,State,Postal Code,Age,Breed,Image URL,Access URL,Location,Coordinate,lat,lng,Shelter
Lenni,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/662156e5-a65c-4589-a3a8-f335ad6000c0/image/589f68f0-0d76-43bd-8734-ffbd341991ca.jpg?versionId=0.pQpaxXJzmx.PzHO2UHY87qLiyPkE60&bust=1731165123&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Hanna,Los Angeles,CA,90031,Adult,French Bulldog Mix,https://dbw3zep4prcju.cloudfront.net/animal/6007abef-44c5-4f78-91b9-de4657ae3229/image/740942b0-2ffb-47cd-a386-58b35ab3ce00.jpg?versionId=a_qefqBSE8CcnseZpeU9mlpE8sq1wP0T&bust=1731164898&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Tucan,Los Angeles,CA,90031,Adult,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/d71203fd-8b4a-4d17-b3ed-76d1062e93a1/image/4d8304a4-0664-41a7-aaf3-78723a3c450c.jpeg?versionId=OTYSd6nNvHnQBZ.ilTdzujeZ7F9up0iW&bust=1731085389&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Gaga,Los Angeles,CA,90031,Adult,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/b6a74748-bf6d-49f8-a5fb-9905feaf31e7/image/05972e86-cbfd-4068-bb96-990d3937b758.jpeg?versionId=4FjwI5g7VGksXI3qoK9AbFCjGyZK9Cne&bust=1731017628&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Shannon,Los Angeles,CA,90031,Adult,Labrador Retriever Mix,https://dbw3zep4prcju.cloudfront.net/animal/c1c48d6d-716f-4d1b-a0c7-8e373fef8ac5/image/76d542ac-0ae8-4bc5-853d-2cca56b942f0.jpeg?versionId=y.hOe9HuiI2mNUuonyi4Dd7jXWG1Hpw6&bust=1731015589&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Watson,Los Angeles,CA,90031,Adult,Siberian Husky,https://dbw3zep4prcju.cloudfront.net/animal/3ebfa037-ded7-4aba-8691-18679438625c/image/3a13bc00-891e-4b60-90cc-26f1f9041222.jpeg?versionId=PZljErj1_QqUODhqdPPpxawYtnZLUldn&bust=1731011853&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Zara,Los Angeles,CA,90031,Adult,German Shepherd Dog,https://dbw3zep4prcju.cloudfront.net/animal/8f56f522-e44a-4511-841a-29a74c0d3d78/image/5d464bf9-f968-4a42-9992-8304b4b1e7ea.jpg?versionId=buxOQpoxubJDcDwnSpJAt9G5NIsoyEZ1&bust=1730755918&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Ellie,Los Angeles,CA,90031,Young,Pit Bull Terrier,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/73147859/1/?bust=1732785293&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Valentina,Los Angeles,CA,90031,Young,Siberian Husky Mix,https://dbw3zep4prcju.cloudfront.net/animal/72aac0d2-49f5-4e3a-ba08-cb9829b10d5a/image/8787b1f8-a86a-43f4-a915-d41ffabc371e.jpg?versionId=6ZGd75qLw4M7B9pUoG7m_76cW15u9zvI&bust=1732648617&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Cafesita,Los Angeles,CA,90031,Young,Staffordshire Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/03671cb7-13b8-4b83-a035-060a06b13b5e/image/46c38f85-cd64-4ebb-8a78-40bb32edc5a8.jpg?versionId=DnFnzJsNQH8lXmDNeXJV8kLxPeOoeg5D&bust=1732647207&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
